2akf:B:B1	B_B D452 E456
2eul:A:A1_A2	A_A E20 E24:A_A D63 E66
6bwy:B:B1	B_B H257 C288 C291
4z9k:A:A1	A_A E103 H107
4rkh:D:D1_D2_D3	D_D C525 C527 C539 C544:D_D C539 C553 C558 C561:D_D C525 C546 C553 C556
6a94:A:A1	A_A H182 H183 E264 E318
5kay:A:A1	A_A E122 H125 E200
5ikf:A:A1_A2	A_A C1311 C1314 H1318 C1323:A_A C1333 C1336 H1340 C1347
2ds5:B:B1	B_B C14 C17 C36 C39
1py2:B:B1	B_B H16 D20
8chy:A:A1_A2_A3_A4_A5_A6	A_A D16 D18:A_A D52 E53:A_A D86 E87:A_A D120 E121:A_A D154 E155:A_A D256 E257
7bb8:A:A1	A_A H241 H245 E268
8fmg:A:A1	A_A C32 C35 C87 C90
3o7a:A:A1_A2	A_A C235 C237 H257 C260:A_A C249 C252 C274 C277
8bd4:A:A1	A_A R128 E131
5h0m:A:A1	A_A C76 C79 C114 C117
8uw6:B:B1_B2_B3	B_B H80 D112 E169:B_B D112 E145 H355:B_B H378 H383
1fn9:A:A1	A_A C51 C54 H71 C73
5nbc:A:A1	A_A C93 C96 C133 C136
4nrn:A:A1_A2	A_A H47 E58 H60:A_A E58 H86
1fuk:A:A1	A_A E341 H345
3fav:C:C1	C_C E3 D7
7of0:r:r1	r_r Q69 C70 C73
4yci:A:A1_A2_A3	A_A H141 E212:A_A P117 H119 E120 E244:A_A E144 H210
3phx:B:B1	B_B H106 Q109
1vhd:A:A1	A_A D189 H193 H256 H270
7wqg:A:A1	A_A D82 D84 D88
1xcr:A:A1	A_A H266 H268 H278
6twm:D:D1	D_D E61 H144
3ux3:A:A1	A_A H89 H123
1ah7:A:A1_A2_A3	A_A D55 H69 H118 D122:A_A H128 H142 E146:A_A W1 H14 D122
3st1:A:A1	A_A H116 D210
4gc3:A:A1_A2_A3	A_A D17 H42 H230:A_A H9 H11 E81 D228:A_A E81 H109 H154
4a4k:A:A1	A_A C861 H1060
1xvx:A:A1_A2	A_A E117 H217:A_A D4 H241 E244
2qmu:C:C1	C_C C106 C127 C130
5ls4:A:A1	A_A E400 C507 H510 C530
8f5v:A:A1	A_A H52 D155 H159
3pm6:A:A1	A_A H87 H192 H223
3dci:A:A1	A_A H170 D206
7uof:A:A1_A2_A3_A4_A5_A6_A7	A_A H56 H58 K137 D302:A_A K137 H168 H227:A_A E196 K231 E280 D283:A_A K211 E243:A_A M1 E23:A_A E309 K313:A_A E309 D310
5yf4:A:A1_A2	A_A C110 H113 C119 H127:A_A C92 C97 H169 H174
5wgi:A:A1	A_A D612 H614 D705
6ml1:B:B1	B_B C448 C451 C809 C812
7o4j:3:31_32	3_3 C13 C16 C42:3_3 C34 H36 C54 C59
2c7n:A:A1	A_A C19 C23 C35 C38
6grh:1:11	1_1 C192 C195 C290 C292
7apz:A:A1	A_A E39 D41
4yh8:A:A1_A2	A_A C18 C27 C33 H37:A_A C149 C157 C163 H167
1u5k:A:A1	A_A C153 C156 C173 C176
3mtw:A:A1_A2	A_A H90 H92 K211 D344:A_A K211 H252 H272
3idv:A:A1	A_A D277 E281 S288
2gbx:D:D1	D_D H45 R155
1mh2:A:A1	A_A D24 N112
3cjp:A:A1_A2	A_A E121 H150 H179:A_A H8 H10 D227
5mx9:A:A1_A2	A_A H395 H478:A_A E246 T285 D465 H466
5umf:C:C1	C_C H34 D36 H67 D180
3csq:D:D1	D_D H188 D195 H280
8ihg:A:A1	A_A H14 H63 E252
1y02:A:A1_A2	A_A C38 C41 C60 C63:A_A C22 C25 C46 C49
2hu9:A:A1	A_A C4 C7 C38 C43
5bvr:A:A1_A2	A_A H166 D233:A_A D214 R216
4h2w:A:A1	A_A C131 E176 C279
7lyb:M:M1_M2	M_M C24 C44 C47:M_M C39 H41 C61
7om5:A:A1	A_A D98 D110
1nnq:A:A1_A2_A3	A_A C142 C145 C157 C160:A_A E80 E114 H117:A_A E19 E52 H55
7c45:A:A1_A2	A_A C297 C300 H305 C310:A_A C320 C323 H328 C333
4fyy:B:B1	B_B C109 C114 C138 C141
3swn:A:A1	A_A E49 E58 H60
4z8w:A:A1	A_A D45 D73
3tdp:A:A1	A_A K3 D7
7ml1:X:X1	X_X Q270 F271
3sew:A:A1	A_A H216 E222
4xgl:A:A1	A_A C348 C351 H557 C578
3r3q:A:A1_A2	A_A E118 E154:A_A D27 T30
6jmt:D:D1	D_D C11 C14 C31 C34
1f5f:A:A1_A2	A_A D65 H83 H136:A_A H101 D117
7vmx:A:A1	A_A E145 H174
1rp0:A:A1	A_A H189 D190
5pxl:A:A1_A2	A_A C705 C708 H725 C728:A_A C717 C720 C742 C745
2qsw:A:A1_A2_A3	A_A H276 E278 E338:A_A H287 E291:A_A E340 E345
3c37:A:A1	A_A H106 H110 E162 H208
3r3r:A:A1	A_A H67 H96
5tp4:B:B1	B_B H84 H190
4oh1:A:A1_A2	A_A C45 H73 E74 E156:A_A C105 C108 C111 C119
9deu:A:A1	A_A C9 C10 D13
7dpd:A:A1	A_A C147 C150 C172 C178
1b0n:A:A1_A2_A3	A_A D63 H66:A_A D55 K92:A_A M1 E64
2hae:D:D1	D_D E129 D155
5yhy:A:A1	A_A E24 H42 H108 H112
5ysb:A:A1_A2_A3_A4	A_A H75 E100 H418:A_A E51 D335:A_A N271 D275:A_A E103 H419
6hcz:A:A1	A_A C53 C56 C70 C73
6cmk:A:A1_A2	A_A H101 H104 D106 H405:A_A H126 H169 H216
2eg4:A:A1	A_A C152 H192 H219
6vyo:A:A1	A_A D82 H145
4qts:C:C1	C_C H81 C86 C89
3q02:B:B1	B_B V1 H2
1su1:A:A1_A2	A_A D37 N73 H105 H127:A_A D9 H11 H129
6uuq:A:A1	A_A D90 H92 D118
4zlh:B:B1	B_B C357 C360 C371 C374
3m4r:A:A1	A_A E113 H127 H129 H185
2z3g:A:A1	A_A C54 C88 C91
4nxc:A:A1_A2	A_A H36 E38:A_A E59 K62
6v8o:I:I1	I_I C260 C283 C286
6igs:B:B1_B2	B_B H109 H112 E139:B_B E102 D103
7p37:A:A1	A_A C3 C31
7t85:A:A1_A2	A_A D85 E89:A_A E76 H116
6ok1:B:B1	B_B C212 C215 C226 C229
4ium:A:A1	A_A C319 C349 C354 C356
2puy:B:B1_B2	B_B C491 C494 H511 C514:B_B C503 C506 C529 C532
2vhf:A:A1	A_A C799 C802 H825 H833
8pn3:A:A1_A2	A_A E112 H161:A_A E158 D335 K337
3h1k:C:C1	C_C D253 E255 H268
5cde:A:A1_A2	A_A D251 D262 E374:A_A D262 H331 E360 E374
5abs:A:A1_A2	A_A E643 K646:A_A E624 D628
6iu5:A:A1_A2_A3	A_A E102 E105:A_A E102 E113 E116 E153:A_A E105 E113 E116
8oqh:A:A1_A2	A_A C91 C94 C111 C114:A_A C132 C134 C149 C154
4up0:A:A1_A2	A_A C330 C333 H355 C358:A_A C346 C350 C379 C382
2xs7:A:A1	A_A E55 H104
4ad9:A:A1_A2	A_A D81 H82 D164 H199:A_A H77 H79 H145 D164
3lkm:A:A1	A_A H742 H794 C796 C800
5ncw:A:A1	A_A H70 H110
5h65:A:A1	A_A C382 C385 C503 C506
2gmw:A:A1	A_A C112 H114 C127 C129
7bgm:A:A1_A2_A3	A_A C142 C149:A_A D125 D127 D129:A_A E214 E234 D237
1odh:A:A1_A2	A_A C76 C125 H152 H154:A_A C82 C86 C113 C116
3psq:A:A1_A2	A_A H127 C221 D223:A_A D66 E86 E90
1wwr:C:C1	C_C H52 C82 C85
4tsd:B:B1	B_B H81 D86 H145
3oj3:I:I1	I_I C607 C612 C627
5wo2:B:B1	B_B H96 T124
6ksy:B:B1_B2	B_B D116 H118 D212 D214:B_B C92 D116 D120 D212
2ou3:A:A1	A_A E49 S104 D107 E114
4ruw:A:A1	A_A H95 D97 H104 H134
6qxu:A:A1	A_A C1234 H1237 C1242 C1245
3t92:A:A1_A2_A3	A_A H22 C26 C31 C36:A_A H45 C49 C57 C60:A_A H70 C74 C79 C84
5ah1:A:A1	A_A D130 H150 H156 D302 L454
1zfp:E:E1	E_E H79 E152
4a2v:A:A1	A_A C812 C815 C866 C871
8xet:A:A1_A2	A_A E174 H216:A_A H277 E309
2q02:A:A1	A_A E138 D169 H196 E244
3axs:A:A1	A_A C247 C250 C266 C269
2zne:A:A1_A2_A3_A4	A_A D36 D38 V42 E47:A_A D103 D105 S107 M109 E114:A_A D171 D173:A_A D105 D111
1ete:A:A1	A_A E58 H80
1dv6:H:H1	H_H D124 H126 H128
3fgg:A:A1_A2	A_A H119 E149:A_A H97 D156
4kf9:A:A1	A_A E18 H224
4egu:A:A1	A_A C6 C9 H48 H100
6uat:A:A1	A_A E114 D118
1zzm:A:A1_A2_A3	A_A H9 H11 E97:A_A E97 H133 H157:A_A D117 H144 H148
3rui:A:A1	A_A C485 C488 C569 C572
7oxd:A:A1_A2	A_A C135 C138 C153 C156:A_A C102 C105 C124 H127
3gl6:A:A1_A2_A3	A_A S1608 C1619:A_A C1610 C1615:A_A C1628 C1632 C1655 C1658
8wrx:A:A1	A_A G44 W45
2cs7:A:A1	A_A D7 H28 H31 H33
3luu:A:A1	A_A H36 E40 E100
3dha:A:A1_A2	A_A D112 H113 D195 H239:A_A H108 H110 H173
8vcj:X:X1	X_X C124 C152 H155
4cs9:A:A1	A_A C7 C15 C21 H25
2gag:D:D1	D_D C6 C9 H59 C63
6ux8:A:A1_A2	A_A H15 E19 H33:A_A E71 K104
1qf8:A:A1	A_A C109 C114 C137 C140
5x42:A:A1	A_A C52 C55 C84 C87
4q7r:A:A1	A_A D78 H221
5aie:A:A1_A2	A_A C57 C60:A_A C50 C52 C74
6tt2:A:A1	A_A H143 C154 C155 C165
1jk0:A:A1	A_A E176 E239 E273 H276
2drp:D:D1_D2	D_D C113 C116 H129 H134:D_D C143 C146 H159 H164
7mo3:B:B1	B_B C795 C798 C809 C812
6scy:B:B1	B_B C6 C9 C28
7fct:B:B1_B2	B_B H59 H61 H142 D165:B_B D63 H64 D165 H220
8q48:M:M1	M_M H82 E335 H338
7ppp:A:A1	A_A C4 C7 C61 C64
3h50:A:A1	A_A H41 Q46 H80
5dka:A:A1_A2_A3	A_A C37 C40 C57 C60:A_A C100 C103 H115 C119:A_A C52 H54 C72 C75
8cx0:B:B1	B_B H108 C114 C133 H139
7rwm:C:C1	C_C C32 C35 H87
2w15:A:A1	A_A H142 H146 H152
1yhu:B:B1_B2	B_B H31 H57:B_B H36 H40 H111
7by1:A:A1_A2	A_A C107 C113 C145 H147:A_A C115 C142 C145 H152
4ywq:A:A1	A_A E277 H316
2rhs:C:C1	C_C C267 C270 C275 C278
8dw6:H:H1	H_H C37 C40 C65 C68
3cqj:A:A1	A_A E155 D185 H211 E251
1k0w:A:A1	A_A H95 H97 H171
4hc9:A:A1_A2	A_A C318 C321 C339 C342:A_A C264 C267 C285 C288
1k4p:A:A1_A2_A3	A_A E181 E183:A_A E37 H153:A_A D41 E174
3bkf:A:A1_A2	A_A H89 C95:A_A H87 C95 E97
4z04:A:A1	A_A H63 E116
6dq3:A:A1_A2	A_A D168 H223 H227:A_A H108 E114
3flo:B:B1_B2	B_B C1287 C1290 C1314 C1317:B_B C1348 C1353 C1367 C1372
3m7k:A:A1_A2	A_A C63 C66 C109 C112:A_A C4 C7 C24 C27
6cko:C:C1	C_C H587 E591
3gdf:A:A1	A_A E123 H127
7t92:A:A1_A2	A_A C311 C334:A_A C270 C316 C319
6lb2:A:A1	A_A A0 H3 Q180
7cma:A:A1	A_A H109 C116 C139 C142
2di3:A:A1	A_A D144 H148 H196 H218
3ht2:A:A1	A_A H53 H55 H59 H95
4dwc:A:A1	A_A K80 H81
6h0g:C:C1	C_C C419 H435 H439
3vrh:A:A1_A2	A_A C3 C22 H25:A_A C272 C275 C284 C287
5udz:A:A1_A2	A_A C139 C142 H147 C152:A_A C161 C164 H169 C174
5jlb:A:A1_A2_A3	A_A C1499 C1501 C1516 C1520:A_A C1516 C1529 C1533 C1539:A_A C1631 C1678 C1680 C1685
9emg:A:A1_A2_A3	A_A W27 H32 D145:A_A D71 H88 H141 D145:A_A H151 H175 D179
1r8q:E:E1	E_E H127 D131
4xxf:A:A1	A_A H142 H144 H206
2fz6:A:A1	A_A D40 D43
5c4v:B:B1	B_B C291 C294 H306 H308
6jmy:A:A1	A_A H168 D172 H249
5wxh:A:A1_A2	A_A C885 C888 C911 C914:A_A C870 C873 H893 C896
4nno:A:A1	A_A H67 H140 E206 D281
4uci:A:A1	A_A H1766 H1798 C1802 C1805
9fzk:A:A1_A2	A_A C74 C77 H83 C90:A_A C117 C120 C128 C130
2g84:A:A1	A_A H77 C112 C115
7c7a:K:K1	K_K C64 C109
2z26:A:A1_A2	A_A K102 H139 H177:A_A H16 H18 K102 D250
3d2q:D:D1_D2	D_D C185 C193 C200 H204:D_D C221 C229 C234 H238
7dry:A:A1	A_A H61 C102 C112
3ta7:A:A1	A_A H9 H15 D17
3ble:A:A1	A_A H207 H209
7q4o:9:91	9_9 C408 C411 H425 H431
2p09:A:A1	A_A C23 C26 C46 C49
8b2g:A:A1	A_A Y1 D29
5hko:A:A1_A2	A_A E50 E252:A_A D74 S76
5yix:B:B1	B_B C118 C133 C143 H146
6tbz:A:A1	A_A C65 C110 C122 H127
3k6j:A:A1	A_A H-5 H173 E185 C217
3vus:A:A1	A_A D115 H184 H189
3d06:A:A1	A_A C176 H179 C242
8c6v:D:D1	D_D G-1 H0
9bz0:C:C1	C_C C88 C90 C97
4h9d:A:A1	A_A C38 C41 C76
2xnj:A:A1_A2	A_A H114 E116:A_A H25 D62
6xmy:A:A1	A_A H160 H260
2pg3:A:A1	A_A C188 C197 C200 C203
3g1p:B:B1	B_B C21 C23 C26 H225
5ud5:A:A1	A_A H24 C42 C69
2y3g:A:A1	A_A H42 E63 H119
6gpz:A:A1	A_A E50 E54
5uw2:A:A1	A_A T41 D130
9dtr:N:N1_N2	N_N C34 C37 C64:N_N C16 C71 C74
2e18:A:A1_A2	A_A M1 E202:A_A D34 E134
5onk:A:A1	A_A H41 E46 H102
5w89:A:A1	A_A E240 C286
2g7z:A:A1_A2	A_A E235 E269:A_A D195 E196
9bz0:L:L1	L_L C19 C22 C36
3dff:A:A1	A_A H16 D19 H164
2hxv:A:A1	A_A H49 C77 C86
8hfp:A:A1_A2	A_A C26 C28 C33 C36:A_A C40 C43 C48 C52
7prj:A:A1_A2	A_A H17 H40:A_A H44 E71
1c8y:A:A1	A_A H94 E135
4oko:A:A1	A_A H86 E89 H171
3zeu:B:B1	B_B H111 H115 D300
6rmn:B:B1_B2	B_B H525 E529 C670:B_B E529 C701 H703
7z5h:A:A1	A_A H280 H285 E316
4nzg:A:A1	A_A H58 H62 C95 C98
3vpb:B:B1	B_B E250 N252
3k9t:A:A1	A_A H189 D195 H324
4cxp:A:A1_A2_A3	A_A D45 H58 H120 D124:A_A H130 H154 D158:A_A W1 H6 D124
7mk3:B:B1	B_B C150 C155 H157 C160
6f1j:B:A1	B_A S24 E220
3mln:A:A1	A_A H157 C161 C164 C170
4p3x:A:A1	A_A M-6 H-1
6j2u:B:B1_B2	B_B H190 H194 H216:B_B H38 H54 H63
2v89:A:A1_A2	A_A C1419 C1423 H1455 C1458:A_A C1446 H1452 C1478 H1481
5fb3:F:F1	F_F D157 H238 H256
3czx:A:A1	A_A H11 E25 H77
1b0n:B:A1	B_A E17 E21
4f0a:B:B1_B2	B_B H76 H90 E152:B_B E304 H335
7pyt:A:A1	A_A C42 C45 C55 C58
7ysf:A:A1_A2_A3_A4	A_A C116 C119 H132 H136:A_A C144 C147 H160 H164:A_A C172 C175 H188 H192:A_A C200 C203 H216 H221
2z72:A:A1_A2	A_A D78 H80 D114:A_A D114 N149 H207 H286
3zwf:A:A1_A2	A_A D66 H67 D253 H313:A_A H62 H64 H182 D253
8b5w:A:A1	A_A C4838 C4841 H4887 C4890
7zc3:A:A1	A_A C12 C15
5l7j:A:A1	A_A C310 C315
1xov:A:A1	A_A H10 E23 H79
3q31:A:A1	A_A H123 H125 H142
3hko:A:A1	A_A H93 C122 C124 C127
8s35:G:G1	G_G C30 C33 C61
1u10:C:C1_D2	C_C H110 H113 D120 H211:C_D D147 H150
3ggl:A:A1	A_A D326 T329 E431
3vux:G:G1	G_G C762 C767 C782
1nlt:A:A1_A2	A_A C143 C146 C201 C204:A_A C159 C162 C185 C188
3bpu:A:A1	A_A H645 E714
5uki:A:A1	A_A C14 H16 H232
3hwp:A:A1	A_A H129 E160 H270 E274
1nzj:A:A1	A_A C101 C103 Y115 C119
3qu6:A:A1_A2	A_A D99 H101:A_A E94 H104
2rcc:C:C1_C2	C_C D88 H121:C_C E118 E185 E219 H222
4wwu:G:G1	G_G H54 E56
8d19:A:A1	A_A C276 C322 H323
9ild:A:A1	A_A H102 D113
2xev:B:B1_B2	B_B E58 E88:B_B E58 E88 E93
7alc:A:A1	A_A C141 H144 C212
4hdt:A:A1_A2_A3	A_A E46 H97 E348:A_A E61 H189:A_A H32 E83
4ism:B:B1_B2_B3	B_B E15 E48 H51:B_B E44 E47 E130:B_B E48 E94
2y28:A:A1	A_A H34 H154 D164
5c5t:A:A1	A_A H138 D140 H207
2faw:A:A1	A_A L26 E156 L157 E158 I211
6nbo:A:A1_A2	A_A H57 H59 H210 D296:A_A H242 D296
1czf:B:B1	B_B D308 D336
4ivv:A:A1	A_A H26 H133 D149
1oqj:A:A1	A_A C113 H170 C174 C178
7t7i:D:D1	D_D C129 C145 C148 H239
7fav:A:A1_A2	A_A C1034 C1037 C1040 H1088:A_A C1175 C1178 C1225 C1227
9gl1:A:A1	A_A D216 N218 D329
3poa:A:A1	A_A D81 H97
5los:A:A1	A_A H31 H92
7u2s:A:A1_A2	A_A H61 H63 H146 D166:A_A D65 H66 D166 H220
5z8y:A:A1	A_A H53 H72
6gfb:B:B1	B_B H228 A244
4bn4:A:A1	A_A C256 C259 C280 C283
3fns:A:A1_A2_A3	A_A H32 D215:A_A D195 H198:A_A E48 E51
4dzh:A:A1_A2	A_A H78 H80 H227 D315:A_A H184 L220
4qqr:A:A1_A2	A_A H123 D135:A_A D77 C79 H82
6h10:A:A1	A_A C238 H244 C310 C312
2vh3:B:A1	B_A Y108 H112
1x1c:A:A1	A_A D286 H290
7fa1:A:A1_A2_A3	A_A C144 C147 C162 C165:A_A C191 C194 H203 C237:A_A C21 C52 H55 H57
3po3:S:S1	S_S C271 C274 C299 C302
1k9z:A:A1_A2_A3_A4_A5_A6	A_A E72 D142 I144:A_A D142 D145 D294:A_A E27 E89:A_A H221 H224:A_A E235 H244 H261:A_A D315 D342
8twu:A:A1	A_A H267 H405 H407
4ilo:A:A1	A_A C199 C202 C223 C226
6goc:A:A1	A_A H201 H244 C315 C317
8th9:A:A1	A_A C294 H298 C318 C321
8phz:A:A1	A_A C262 C287 C305
6s9a:B:B1	B_B H142 D185
7of0:4:41	4_4 C76 C92 H98
7o4f:A:A1_A2	A_A H924 H947 C954 C956:A_A H892 C920 C923
6znv:A:A1	A_A H290 E291
3sxk:A:A1	A_A H134 H174 H196
2cye:C:C1	C_C D18 H22
3llx:A:A1	A_A H346 C348
2y33:A:A1	A_A H313 D315 H374
5txk:A:A1	A_A C580 C583 C782 C785
6htm:B:B1	B_B E126 H130
4mah:A:A1	A_A H1 H60
1zzh:B:B1_B2	B_B E160 E163:B_B D289 D293
3htr:A:A1	A_A E34 D60 H62
4gne:A:A1_A2_A3_A4	A_A C1324 C1327 H1346 C1349:A_A C1336 C1341 C1362 H1365:A_A C1378 C1381 C1405 H1408:A_A C1367 C1370 C1386 H1389
6mtw:A:A1_A2	A_A S165 H359:A_A D307 C322
6zsv:B:B1_B2	B_B E161 E252 E274 H280:B_B E252 H291 D293
5tpw:B:B1	B_B H44 H128 E266 D282
4lad:B:B1_B2	B_B H361 C364:B_B C356 H358 C378
7odu:A:A1	A_A E112 H198 H200
2xeu:A:A1_A2	A_A C6 C9 C33 C36:A_A C28 H30 C47 C50
3hug:J:J1	J_J H25 H50 C54 C57
3lx3:A:A1	A_A H28 H40 H42 E160
2z45:A:A1	A_A H48 E63
6j44:A:A1	A_A C105 C108 C126 C129
3ax1:A:A1	A_A C500 C505 H518 H523
7rdn:A:A1_A2	A_A C268 C271 H288 C292:A_A C134 C137 H172 C176
1g5c:A:A1	A_A C32 H87 C90
4z67:A:A1	A_A C19 C21 C24 N272
4u5g:A:A1_A2	A_A D15 E19:A_A H73 E74
5swc:A:A1	A_A C39 H98 C101
7zmx:A:A1_A2	A_A C363 C365 H387 C390:A_A C376 C381 C403 C406
7m4o:A:A1_A2_A3	A_A C675 C678 C693 C695:A_A C700 C703 H712 C730:A_A C714 H716 C724 C727
6uxu:A:A1_A2	A_A D116 H117 N216 H257:A_A H143 D146
2nsf:A:A1	A_A H52 E144 H148
1j30:A:A1	A_A E92 E126 H129
8rio:A:A1	A_A H49 H51 E258
3qdh:A:A1	A_A D268 D271 E288
1zy7:A:A1	A_A H394 C451 C516
7bv5:D:D1	D_D H216 C254 C257
2cb8:A:A1	A_A S2 E68
3u50:C:C1	C_C C555 C557 C572 C575
3lnl:B:B1_B2	B_B H69 H330 E333:B_B H68 D106 E333
9bz0:I:I1_I2	I_I C17 C20 C39:I_I C86 C89 C114 C119
1gud:A:A1	A_A E3 D35
7zhd:A:A1	A_A D9 E11
5cyz:C:C1	C_C C114 H116 C119 C152
8ow8:A:A1	A_A H225 H229 E269
8j9r:A:A1_A2_A3	A_A C1694 C1698 C1716 C1724:A_A C1662 C1691 C1694 C1714:A_A C1679 C1682 H1699 H1702
3p1v:A:A1_A2	A_A H311 H315 D322:A_A E323 C398 C409 C412
4g6u:A:A1	A_A E177 D198
6oh9:A:A1	A_A H100 H102 H258 D348
1sw1:A:A1_A2	A_A E238 D239:A_A D242 D244
4rh4:A:A1	A_A H40 C78 H81 M86
8jp4:C:C1	C_C H51 H55 H99 H101
4wcm:A:A1_A2	A_A H46 E49 H128:A_A H62 D254
4un7:A:A1	A_A D21 A116
1qwy:A:A1	A_A N117 H210 D214 H293
2ddf:A:A1	A_A H405 H409 H415
6uca:D:D1_D2_D3_D4_D5_D6	D_D H42 C73:D_D C125 C128 H140 H143:D_D C380 H393 C400:D_D C394 H410:D_D C411 C414 H424 C431:D_D C425 C428 H436 C438
8yva:A:A1_A2	A_A C474 C479 H497 H501:A_A C509 C512 H525 H530
3iuf:A:A1	A_A C211 C214 H227 H232
1y2k:A:A1	A_A H164 H200 D201 D318
2e7y:A:A1_A2	A_A H53 D190 H244:A_A H48 H50 H134 D190
4l3k:A:A1	A_A H9 D12
3ieh:A:A1	A_A H75 E78 H169
5af0:C:C1	C_C E137 C290 H293 C302
3ga8:A:A1	A_A C3 C6 C37 C40
