2yjg:A:A1	A_A V125 E126 E128
4pu5:A:A1	A_A N311 D328
4gyi:A:A1	A_A N234 X257
4x0u:D:D1	D_D E121 D124
8anp:C:C1	C_C D105 D254 D394
6m8r:F:F1	F_F D87 D91 Q93
1xqa:A:A1	A_A H62 E109
4d7y:A:A1	A_A D193 D235
5gl3:A:A1_A2	A_A D61 E115 D157 D246:A_A E115 D157 E161
4xeo:A:A1	A_A E189 E213
2o35:B:B1	B_B M36 F41 C42 C45
1ou8:A:A1	A_A A56 T59
7mqq:A:A1_A2	A_A M22 R24:A_A D86 H87
4xgq:A:A1	A_A D4 T5 D99
3t5t:B:A2_A3_B1_B2_B3	B_A R114 Y190:B_A Y110 S187:B_B D55 D59:B_B R218 E412:B_B H287 R321
1zed:A:A1	A_A D42 S155 E311
5c5v:A:A1_A2	A_A D323 D328:A_A D291 D296 D328
5dj3:B:B1	B_B D116 D120
2pcl:A:A1	A_A E166 P167 T168 T197
4eru:A:A1_A2	A_A H47 E110 E113 E143:A_A E21 Q54 E113 E143
5d8g:A:A1	A_A D53 H358 T421 I422
4wa0:A:A1	A_A D473 V475 S477 L480 E509
2xj9:A:A1	A_A S19 T47
2i71:B:B1	B_B V86 Y105
6p7o:A:A1	A_A D73 E104 A105
6yq4:B:B1	B_B D150 M153 G155
4eoj:B:B1	B_B M200 Q203 I206
1ze1:A:A1	A_A H17 H34
4g75:A:A1	A_A V211 E213 D241
1ryp:A:A1_A2	A_A T17 Y128 R131 M134:A_A A132 Y133
2vbu:A:A1	A_A T43 N45
3lkm:A:A1_A2	A_A D766 P767 Q768:A_A G776 G778
7e6g:A:A1	A_A D138 V139 E181
5v8t:A:B1	A_B D51 P52
6zn7:B:B1	B_B E149 D150 D175
6kwa:A:A1	A_A H176 D178 H235
2nog:A:A1	A_A A853 V856 K859
2zgy:A:A1	A_A D7 Q73 T101
3e54:B:C1	B_C E219 Q246
2a5l:B:B1	B_B K195 S198
2ddx:A:A1	A_A L1 G3 L5 S150 D177
9f28:A:A1_A2	A_A D95 S146 G149 H151:A_A H151 L291 R292
3gve:A:A1	A_A D61 N105 H213 H246
5le5:K:K1	K_K T164 D167 A168 S170
5vgt:A:A1	A_A A112 T115 D116
1r2r:B:B1	B_B D106 Q146
5ly8:A:A1_A2	A_A A106 E108 D130 S132 N135:A_A D21 G59 Q227
1u3f:A:A1	A_A D124 D154
5f2t:A:A1	A_A D255 S257
4iwh:A:A1	A_A D246 D250
7wid:A:A1	A_A I81 I84 P86
3wy2:A:A1	A_A D23 R25 V29 D31
9bw1:S:S1	S_S T64 D171
7szx:B:B1	B_B E72 H81 H83
5j1s:B:B1	B_B T320 Q323 V325
4dth:A:A1_A2	A_A E16 Q162 E339:A_A E16 E78
5d0n:A:A1	A_A S144 G148 T150 A151 T204
3c6a:A:A1	A_A D398 C399 S400 Y407 D539
8dfd:E:E1	E_E S16 D125
3pu9:A:A1_A2	A_A D43 D161 D211:A_A D43 G44 G46
5oc0:A:A1	A_A R63 L64 Y66
4p32:A:A1	A_A T43 Q85
4oe7:D:D1	D_D P20 G57
4ndo:A:A1	A_A E190 P227
1g9x:B:B1	B_B S1047 E1179
4cml:A:A1	A_A N275 E303
2vhx:F:F1	F_F E323 H327
3shq:A:A1	A_A D146 D148 D255
3p0f:A:A1	A_A D280 D283
6j80:B:B1	B_B E49 H194
1gsa:A:A1_A2	A_A D273 E281:A_A E281 N283
5y8v:D:D1	D_D K131 K132 T133
7cvw:A:A1	A_A D139 D165 N166
7znp:A:A1	A_A G78 V81 N196 D198
7bsj:A:A1	A_A E255 D256 D279
5mxh:A:A1	A_A N37 T38
3dc7:B:B1	B_B S160 D161
2bgw:A:A1	A_A D52 E62 R63
2ihp:A:A1	A_A D115 D120 D152
1z5b:B:B1	B_B R102 T418
3kr4:A:A1	A_A D379 K386 D459 E461
3m7k:A:A1	A_A D92 N113
1gkb:A:A1	A_A L107 N131
4kys:A:A1	A_A D201 D205 N295 I296
5b8f:C:C1	C_C D8 H10 H42
6pwk:A:A1	A_A E438 N492 E524 D554
1kjq:A:A1	A_A E267 E279
2v9p:A:A1	A_A S440 D479
1dak:A:A1	A_A T16 D54 E115
1xzn:A:A1	A_A D104 D105
5hwe:A:A1	A_A E301 A350 Q353 G354 P355 G358
2xtm:B:B1	B_B S36 T58
4f5d:A:A1	A_A G166 R232 R238
7rm7:A:A1_A2	A_A N32 D38 D40:A_A D38 D40
7lwa:A:A1	A_A D182 E196
4pq9:A:A1	A_A E35 S86 D253
6igj:A:A1	A_A H81 N141
2q1a:X:X1	X_X E143 E145 D164
5ouo:A:A1	A_A T948 V982 N983
4cn2:C:A1_C1_C2	C_A G144 K145:C_C C152 E153 G154:C_C L196 G199 M200
4kgm:A:A1_A2	A_A D30 G31 D75:A_A D30 D75
6zxq:A:A1	A_A D12 G39
4dwo:A:A1	A_A D9 D11 D219
8ucg:A:A1_A2_A3	A_A D94 D248:A_A P148 V154:A_A D306 S309
7mpt:A:A1_A2	A_A D24 E26 D154:A_A D24 H78 D83
3u8x:C:C1	C_C Q137 D154
5efq:C:C1	C_C N842 D855
8q1x:A:A1	A_A L308 F438
6sa5:A:A1	A_A S1021 D1023 D1026 V1060 R1061
4rml:A:A1	A_A V435 D436
4r74:B:B1	B_B N241 D243 N244
5cx7:H:H1	H_H E26 Q29
4kfj:A:A1_A2	A_A N64 L67 K68:A_A P23 E143
5y8b:A:A1	A_A D104 D160 D184
5bmn:A:A1	A_A S119 D259 D261 D263
1qb7:A:A1	A_A D146 T154
6ll1:B:B1	B_B D197 Y253
8vrx:B:A1	B_A G209 S210
5odj:A:A1	A_A K11 H58 A60 I61
6z69:B:B1	B_B G136 P137 V138
4utg:A:A1	A_A S114 L116 S118
8pd6:A:A1	A_A Q364 T366 L443
8e0e:A:A1	A_A G82 A84
4dsc:B:B1	B_B F132 Y144 S146 E170
4yo7:A:A1	A_A L250 V253
6q5a:A:A1	A_A E137 G358
2j4h:A:A1	A_A A121 V122 H125
2vu9:A:A1	A_A D1089 N1093
6ae9:A:A1	A_A D79 G80
7r1m:A:A1	A_A D89 V91 E96
6l0z:A:A1	A_A K42 E44
4nb4:F:F1	F_F D6 E70
5a60:A:A1_A2	A_A E6 E160:A_A E4 E6 E162
6lnr:A:A1	A_A F138 K139
7xca:A:A1	A_A H121 I200 Y201
5wwd:A:A1_A2	A_A G41 H42:A_A E59 E107
6zxg:z:z1_z2	z_z E191 D341:z_z N329 D341
7kb7:A:A1	A_A D238 D249
4r9u:C:C1	C_C S40 Q80
8ero:A:A1_A2	A_A D111 D132 D136:A_A D111 D132
2vpn:B:B1	B_B E27 S30
6leb:A:A1	A_A D230 V232 V288
7p1g:K:K1	K_K D212 H291
5uiv:A:A1	A_A D13 G155 E162
1kqp:A:A1	A_A D50 E162
5ybi:A:A1_A2_A3_A4_A5_A6_A7	A_A G290 K291:A_A M171 P340:A_A T417 Y418:A_A Q86 G100:A_A L146 R368:A_A R189 R191:A_A V87 G88 I233 F236 F237
3vpb:B:B1	B_B D237 E250
5ewu:A:A1_A2	A_A S1087 G1088 S1151:A_A D1036 T1040 S1044
6dwd:C:C1	C_C H167 N207 D311
8suc:A:A1	A_A D896 I939 L985
5k5z:D:D1	D_D T18 D41
7z67:A:A1	A_A Y283 Y404 I405
5ze6:B:B1_B2	B_B D84 D88:B_B D84 D88
1pfk:A:A1	A_A G185 E187
3zth:A:A1	A_A Q26 D240
6h59:A:A1_A2	A_A D68 D89 D93:A_A D68 D71 D89
2nug:A:A1_A2_A3	A_A D44 E110:A_A E40 E110:A_A E37 E40
3tav:A:A1_A2	A_A D115 H184 E217 E248:A_A D104 D115 E248
8bp7:E:C1	E_C L59 P60
5iit:C:C1	C_C G263 L266 A268
2hfk:A:A1	A_A H254 D256
2j4e:G:G1	G_G E44 K89
2qvh:A:A1	A_A D130 E156 D179
3euk:A:A1	A_A S1394 T1395
7kkd:D:D1	D_D G82 L105 V107
3feu:A:A1	A_A E74 V77 G79
5uvd:A:A1_A2	A_A G96 T98:A_A D48 D50
5jip:A:A1	A_A D227 M230 D258 D304
2pze:A:A1	A_A T465 Q493
7l4j:A:A1_A2	A_A D151 D437 D498:A_A D151 G152
6fwz:A:A1	A_A N185 D252
7vu0:A:A1_A2	A_A S231 R269 A271 D272:A_A D403 N404 D421
4omf:A:A1	A_A E44 A347 H386
1rku:A:A1	A_A D7 E9 D152
6bqz:A:A1	A_A R129 F130 E133
3umb:A:A1_A2	A_A D42 D46:A_A A77 N80
7yf6:B:B1	B_B V11 T12
2reu:A:A1	A_A N187 F189
7mto:A:A1	A_A V222 D224
5h70:B:B1	B_B S18 D92
7ol3:B:B1	B_B S81 T120
7mjw:A:A1	A_A I266 M269 V272
1q3v:A:A1	A_A H40 K43
8tp1:B:B1	B_B S237 E282
3hm2:G:G1	G_G E57 E60
6ra7:A:A1	A_A S77 H78 H79 I82 T84
4usx:C:C2	C_C G731 T732
6s4c:A:A1	A_A H1061 G1132 E1168
5z4m:A:A1	A_A D278 D280
5ih1:A:A1	A_A H205 D219
5t5m:C:C1	C_C S139 Y140 D143
2eh3:A:A1_A2	A_A E75 E78:A_A E78 E82
6n7e:D:D1	D_D E570 E584
1s83:A:A1	A_A E70 N72 V75 E80
1rzr:A:A1	A_A N101 D103
1mzy:A:A1	A_A D220 T224
5yj9:D:D1	D_D N342 D359
2qdf:A:A1	A_A F99 N102 D107
4m69:A:A1	A_A N148 D161
2h44:A:A1	A_A H613 D654
3r3s:A:A1	A_A D58 S59 E84
1zot:A:A1_A2	A_A D188 D190 H298:A_A D188 I189 D190 V296 H298
2gj8:D:D1	D_D S230 T251
4dzh:A:A1	A_A E288 N320 D322
6no3:A:A1	A_A N210 D228
5c0y:B:B1	B_B D238 L239 E240 D365
7yia:A:A1	A_A D49 I73 I94
1yqt:A:A1_A2	A_A T378 Q406:A_A S113 Q165
4as2:A:A1	A_A D31 D33 D262
2v54:B:B1	B_B D13 E145
7yse:B:B1	B_B D119 E134
3bk5:A:A1	A_A H125 K127 D128
8roo:A:A1	A_A L78 R82 H93 Y118
1evw:B:B1	B_B H101 N119
4xdu:A:A1	A_A A162 D284 T288
6p4w:A:A1	A_A K96 D174
6m3f:B:B1	B_B A138 A141 E177
2x5z:A:A1	A_A D109 D260
4pio:A:A1	A_A D233 D235
6lx1:A:A1	A_A E189 H195
6fjk:B:B1	B_B C369 S370 D407
6umt:A:A1	A_A E46 E146
5lxt:F:F1	F_F E331 N333
8qbm:A:A1	A_A D119 D198
3dlz:A:A1	A_A W652 D716 Q718 Y747
2wat:D:D1	D_D D1772 V1773 E1774
2a40:B:B1	B_B D172 D198
7e4n:A:A1_A2	A_A D88 N182:A_A D88 D92
6ghb:D:D1	D_D A224 E225
5hml:A:A1	A_A D155 D204
1n0w:A:A1	A_A Q101 L113 G116
4cvo:A:A1	A_A D114 H118
8g6p:A:A1	A_A T153 E193
2as8:A:A1	A_A D56 L57 E59 E91
7twa:B:B1	B_B E71 I130
2z51:A:A1	A_A N35 E69
4hpp:A:A1	A_A E133 E180 E187
6njw:A:A1	A_A E404 D455 Y582
1jyl:A:A1	A_A D107 E216 D218
4gt8:A:A1	A_A E259 N263
3ddv:B:B1	B_B Y129 R131
2gge:D:D1	D_D E217 E243 H293
2hma:A:A1	A_A G16 S19
5d8h:C:C1	C_C M113 S115
7rj1:A:A1	A_A D29 E147
4q7f:A:A1	A_A D56 N93 H191 H231
4hzd:A:A1	A_A S234 A247 G248
5yjw:A:A1_A2_A3	A_A A175 G177 I381 G382 N384:A_A G62 A65 A175:A_A G177 A178 K196 D383
4i3y:A:A1	A_A E70 D88 I90
4pj2:B:B1	B_B P30 S31 Q92
2vd9:A:A1	A_A T332 X333
7p9w:A:A1_A2_A3	A_A R15 R18:A_A R6 R131:A_A F91 R93
3iiv:B:B1	B_B E101 K222
8rlk:C:C1	C_C K69 D306
3mmh:A:A1_A2_A3_A4_A5_A6	A_A A37 Q70:A_A A41 V42 E45:A_A T30 D31 W32 R159:A_A W49 Q140 D145:A_A V97 G98 A139 F141:A_A V25 N38
2x6u:A:A1_A2	A_A H112 G125:A_A R81 R82
3nzg:D:D1	D_D D211 E238 E264
5b66:j:j1	j_j G31 A34 L36
4r7o:C:C1	C_C E70 D72 E152
3au9:A:A1	A_A D231 E233 E315
7tu5:A:A1	A_A H68 H116 D253
7z15:I:I1	I_I T45 Q90
2d2f:A:A1_A2	A_A K42 S43 T170:A_A G36 N38 A40 K42
2vzb:A:A1	A_A E54 H58 D152
1q6o:B:B1	B_B E33 D62
2g9z:A:A1_A2_A3	A_A D78 D113 D115 D142:A_A D113 D115:A_A D113 N141 D142 K145
7b7p:A:A1	A_A S208 D319
1gqy:B:B1	B_B T130 E173
4lrt:A:A1	A_A D22 H204 H206
2qlw:B:B1	B_B A83 M86 T88
2hcf:A:A1	A_A D9 D11 D177
4toq:A:A1	A_A T208 S248
1rlm:A:A1	A_A D9 D11 D215
4ief:H:H1	H_H E254 D258
8phd:C:C1	C_C D246 N248
7te5:A:A1	A_A H61 H63 H105
4yeh:A:A1	A_A N7 D65 D121 D174
3tcs:A:A1_A2	A_A D183 E209 E235:A_A T224 L227
3fws:B:B1	B_B S125 R126
4cns:D:D1	D_D D128 G464
3h7v:A:A1	A_A D165 E194 D219
1wdd:A:A1	A_A K201 D203 E204
3ixc:A:A1	A_A H67 H90
6pcz:A:A1	A_A T378 D381 N383
8yla:A:A1_A2	A_A D95 E99:A_A N231 S235 E239
6qpw:C:E1	C_E S39 Q148
3njl:A:A1	A_A G71 D74 D91 T93
2pke:A:A1	A_A D18 D20 N186
7zp9:D:D1	D_D F16 K102
5vm2:A:A1	A_A H65 E66 E152
4aw0:A:A1	A_A N210 D223
4v19:X:A1	X_A T70 K93
3u4m:A:A1	A_A A33 A35 F37 E39
8s8a:A:A1	A_A D25 D27 D238
2i5r:B:B1	B_B D58 D60
8a3v:A:A1	A_A T235 D340 Y341
3akk:A:A1	A_A N160 D179
3nvs:A:A1	A_A E123 Q145
3hy3:A:A1_A2_A3_A4	A_A M92 L124 Y156:A_A F85 T107 S108:A_A R84 F85 Q86:A_A H89 R159
5yse:A:A1	A_A S181 G184 K185 M187
4u98:A:A1	A_A Q310 D322
3vat:A:A1	A_A H115 D285 D367
5ap1:A:A1_A2	A_A T675 S677:A_A T675 S677
7yzo:C:C1	C_C T44 Q155
8wtl:A:A1	A_A D169 A328
3f1y:A:A1	A_A Q299 D302
1yl5:A:A1	A_A V20 A21 A23 L26
6k55:A:A1_A2	A_A D260 D263:A_A D2 T280
2p4p:B:B1	B_B D66 T67 E68
7cbs:A:A1	A_A T37 D132
6fwh:L:L1	L_L Q7 Q82
3wew:A:A1	A_A N65 I67 Y206
2j7q:A:A1	A_A P41 D44 S47
3zc0:B:B1	B_B E83 E118
7ftr:A:A1_A2	A_A E225 D227:A_A E225 D227 D319
7ror:B:B1	B_B R304 D311
2ars:A:A1	A_A T137 D138 G148 A149
8t5j:A:A1	A_A N184 K196 I197
8q29:A:A1	A_A W154 E242
3jys:A:A1	A_A F291 D404 D406
2etj:A:A1	A_A D18 D107
1yyq:B:B1	B_B N225 S229 E233
5tvg:A:A1	A_A R352 S354 Q377
7eo3:A:A1	A_A D15 G65 D271
5exe:C:C1_C2	C_C D110 N138 S140:C_C D130 L211 Q213
3taw:A:A1	A_A N385 F386
1bx4:A:A1	A_A D130 N131
1v25:A:A1	A_A T184 E328
2ddt:A:A1	A_A F55 N57 E99 D100
6ar1:A:A1	A_A D138 L139 D223
4cvh:A:A1	A_A R126 H127
4zk4:A:A1	A_A D-3 H1
5jxz:A:A1	A_A E241 E376
2ejw:A:A1	A_A E121 V124 M125 A126 T128
3ks6:A:A1	A_A E34 D36 E104
1nzi:B:B1	B_B E45 D53 D98
2r5w:B:B1_B2	B_B G234 E254 D308:B_B E250 E254 D308
5ls7:B:B1	B_B T72 R73 R74 R75 V77
5zwb:A:A1	A_A T162 T200
7r0t:A:A1	A_A D32 E34 D252
4n67:A:A1	A_A G151 G153 R154
8efy:A:A1	A_A D97 E98
3gyg:A:A1	A_A D25 D27 D232
3gkr:A:A1_A2_A3	A_A T64 T66:A_A L280 N283:A_A F308 V309
1lp1:B:B1	B_B N23 E25
5ckw:B:B1	B_B N200 D213
2npn:A:A1	A_A Y218 L249
5guf:A:A1_A2	A_A D8 R10 D12 E16:A_A R50 R51
4yki:B:A1	B_A D110 E213
1aih:C:C1	C_C Y259 E263
5xd4:A:A1	A_A K65 E85
1tw1:A:A1	A_A D254 H344 H347
6jkm:A:A1	A_A N1306 D1326
5aqu:B:B1	B_B D204 E255 I258
3ju5:C:C1	C_C A2 R50
3kgx:A:A1	A_A H319 H323 D396
3hnm:A:A1	A_A S43 L44 D46 N48 T51 G158 E159
5djh:A:A1_A2	A_A E73 D91 L93:A_A D91 D94 D212
1mxg:A:A1_A2_A3	A_A D252 D256 I292:A_A D347 D349 E350:A_A G24 E80 E88
2v4b:A:A1	A_A H439 D530 N542
7nre:A:A1	A_A D703 K798
6xed:A:A1_A2_A3	A_A T183 A184 D265:A_A E115 P180 D181:A_A T165 E167
6qzy:A:A1	A_A S166 L168 Y202 I248 P249 P250
6bs3:B:B1	B_B T33 D56
1c9k:C:C1	C_C S13 E80
3mga:B:B1	B_B W314 H317 T320 E323
1xfi:A:A1	A_A D220 N221 D256
2zyf:A:A1	A_A E13 H195 H197
7ejw:A:A1	A_A S115 E268 V280
1w2y:A:A1_A2_A3	A_A E46 E49:A_A E46 E49 E74 D77:A_A E49 E74
4pjo:l:l1	l_l E32 N33 D36
3zvi:A:A1	A_A D238 E273 D307
3e4o:A:A1	A_A A115 A118 A120
9doc:A:A1_A2	A_A D101 T169 D199:A_A S28 D31
7ao3:A:A1	A_A N220 S224 E228
5uj0:A:A1	A_A X165 D167 D278
5a2z:A:A1	A_A D237 D239
7bjv:D:D1	D_D Y304 G356
6cy9:A:A1	A_A H221 K223 H225 R227
1vc9:A:A1	A_A H32 E46
6pux:A:A1_A2	A_A D333 L335:A_A S130 I131 A288 S291 H292
6dus:A:A1	A_A D228 D325 S327
4j9v:A:B1	A_B Q84 A116
2xbu:B:B1	B_B I36 G39 D110 E111
5ioo:A:A1	A_A M98 E178
5fq8:A:A1	A_A R408 D411 D478 K480
3ktn:A:A1	A_A D272 R273 I274 A276 A308
5y5s:C:C1	C_C Q183 E230
5eke:C:C1	C_C D95 Q97
8a57:D:D1	D_D S207 T234
3al5:B:B1	B_B H160 D162 H235
5g3t:A:A1	A_A G11 G13 G16 A240
6pa3:A:A1	A_A H-4 H-2
4uho:A:A1	A_A A104 D112
4il6:k:k1	k_k D19 D23
7w5h:A:A1	A_A N276 S280 E284
4wqk:A:A1_A2	A_A D44 D46:A_A D44 D46 D86
3rii:A:A1	A_A E109 E113
8uag:A:A1	A_A H126 C127 G157 A159
6peu:B:B1	B_B E176 V249 E265
4qko:D:D1	D_D H656 H681 H685
3eaf:A:A1	A_A E366 D381 Y382
8yl9:A:A1_A2_A3	A_A D105 D109:A_A D105 D109:A_A N237 S241 E245
3c5p:A:A1_A2	A_A P126 D128 D148 L182:A_A D148 A181 G183 N185 D187
3a4x:A:A1	A_A L495 C496 Y509
7us2:B:B1	B_B T388 D454
